kanji,meanings,radical,components,complexity
揮,brandish; wave; wag; swing; shake,手,車 冖 扌,12
机,desk; table,木,木 几,6
旗,flag; banner; standard,方,甘 ハ 方 𠂉,14
既,previously; already; long ago,无,牙 艮,10
期,period; time; date; term,月,甘 月 ハ,12
棋,chess piece; Japanese chess; shogi,木,甘 ハ 木,12
棄,abandon; throw away; discard; resign; reject; sacrifice,木,一 木 亠 凵 厶,13
機,loom; mechanism; machine; airplane; opportunity; potency; efficacy; occasion,木,ノ 木 丶 幺 戈,16
帰,homecoming; arrive at; lead to; result in,巾,ヨ 刂 巾 冖,10
毅,strong,殳,立 亠 殳 豕 几 又,15
気,spirit; mind; air; atmosphere; mood,气,气 丶 ノ 𠂉,6
汽,vapor; steam,水,氵 气 𠂉,7
畿,capital; suburbs of capital,田,田 幺 戈 丶 ノ,15
祈,pray; wish,示,斤 礻,8
季,seasons,子,禾 子,8
稀,rare; phenomenal; dilute (acid),禾,ノ 一 禾 巾 丶,12
紀,chronicle; account; narrative; history; annals; geologic period,糸,糸 幺 小 已,9
徽,good; beautiful; badge,彳,山 糸 幺 小 攵 彳,17
規,standard; measure,見,見 土 人 二 大,11
記,scribe; account; narrative,言,言 已,10
貴,precious; value; prize; esteem; honor,貝,｜ 一 貝 目 ハ 口,12
起,rouse; wake up; get up,走,走 土 已,10
軌,rut; wheel; track; model; way of doing,車,車 九,9
輝,radiance; shine; sparkle; gleam; twinkle,車,車 ⺌ 儿 冖 一,15
飢,hungry; starve,食,食 几,10
騎,equestrian; riding on horses; counter for equestrians,馬,口 大 馬 亅 一 灬,18
鬼,ghost; devil,鬼,鬼 田 儿 匕 厶,10
亀,tortoise; turtle,乙,亀 田 勹 乙,11
偽,falsehood; lie; deceive; pretend; counterfeit; forgery,人,亻 丶 灬 ユ ノ 丷 勹,11
儀,ceremony; rule; affair; case; a matter,人,一 王 亻 丷 羊 亅 戈 手,15
妓,stretch; singing girl; geisha; prostitute,女,支 女 又 十,7
宜,best regards; good,宀,一 目 宀,8
戯,frolic; play; sport,戈,卜 匕 厂 戈 虍,15
技,skill; art; craft; ability; feat; performance; vocation; arts,手,支 扌 又 十,7
擬,mimic; aim (a gun) at; nominate; imitate,手,疋 矢 匕 扌 マ 𠂉,17
欺,deceit; cheat; delude,欠,甘 欠 ハ,12
犠,sacrifice,牛,一 王 牛 丷 羊 亅 戈 手,17
疑,doubt; distrust; be suspicious; question,疋,疋 矢 匕 マ 𠂉,14
祇,national or local god; peaceful; great,示,氏 礻,8
義,righteousness; justice; morality; honor; loyalty; meaning,羊,一 王 丷 羊 亅 戈 手,13
蟻,ant,虫,一 王 虫 丷 羊 亅 戈 手,19
誼,friendship; intimacy,言,一 言 目 宀,15
議,deliberation; consultation; debate; consideration,言,一 王 言 丷 羊 亅 戈 手,20
掬,scoop up water with the hand,手,米 勹 扌,11
菊,chrysanthemum,艸,米 勹 艹,11
鞠,ball,革,革 米 勹,17
吉,good luck; joy; congratulations,口,口 士,6
吃,stammer,口,乙 口 𠂉,6
喫,consume; eat; drink; smoke; receive (a blow),口,口 大 土 刀 亠 二,12
桔,used in plant names,木,口 士 木,10
橘,mandarin orange,木,口 矛 木 儿 冂,16
詰,packed; close; pressed; reprove; rebuke; blame,言,言 口 士,13
砧,fulling block,石,口 石 卜,10
杵,wooden pestle,木,ノ 干 木 十 𠂉,8
黍,millet,黍,禾 黍 水,12
却,instead; on the contrary; rather; step back; withdraw; retreat,卩,土 卩 厶,7
客,guest; visitor; customer; client,宀,口 夂 宀,9
脚,skids; leg; undercarriage; lower part; base,肉,月 土 卩 厶,11
虐,tyrannize; oppress,虍,卜 匕 匚 厂 虍,9
逆,inverted; reverse; opposite; wicked,辵,辶 丷 屮,9
丘,hill; knoll,一,一 斤,5
久,long time; old story,丿,ノ 入 久,3
仇,foe; enemy; revenge; grudge; feud,人,亻 九,4
休,rest; day off; retire; sleep,人,亻 木,6
及,reach out; exert; exercise; cause,又,丶 及 乃 ノ,3
吸,suck; imbibe; inhale; sip,口,ノ 口 及,6
宮,Shinto shrine; constellations; palace; princess,宀,口 宀 ノ,10
弓,"bow; bow (archery, violin)",弓,弓,3
急,hurry; emergency; sudden; steep,心,ヨ 心 勹,9
救,salvation; save; help; rescue; reclaim,攴,水 丶 攵 𠂉,11
朽,decay; rot; remain in seclusion,木,一 木 勹,6
求,request; want; wish for; require; demand,水,一 水 丶,7
汲,draw (water); ladle; scoop; pump,水,ノ 氵 及,7
泣,cry; weep; moan,水,氵 立,8
灸,moxa cautery; chastisement,火,久 火,7
球,ball; sphere,玉,王 水 丶,11
究,research; study,穴,穴 九 儿 宀,7
窮,hard up; destitute; suffer; perplexed; cornered,穴,弓 穴 身 儿 宀,15
笈,backpack bookcase,竹,ノ 竹 及 𠂉,9
級,class; rank; grade,糸,ノ 糸 幺 小 及,9
糾,twist; ask; investigate; verify,糸,｜ 糸 幺 小 十,9
給,salary; wage; gift; allow; grant; bestow on,糸,口 糸 幺 小 𠆢 一,12
旧,old times; old things; old friend; former; ex-,日,｜ 日,5
牛,cow,牛,牛,4
去,gone; past; quit; leave; elapse; eliminate; divorce,厶,土 厶,5
居,reside; to be; exist; live with,尸,口 十 尸,8
巨,gigantic; big; large; great,工,匚 巨,5
拒,repel; refuse; reject; decline,手,匚 扌 巨,8
拠,foothold; based on; follow; therefore,手,几 夂 扌,8
挙,raise; plan; project; behavior; actions,手,手 ⺌ ハ,10
渠,ditch; canal; lock,水,氵 木 匚 巨,12
虚,void; emptiness; unpreparedness; crack; fissure; untruth,虍,一 卜 匕 厂 虍,11
許,permit; approve,言,ノ 干 言 十 𠂉,11
距,long-distance; spur; fetlock,足,口 足 匚 巨 止,12
鋸,saw (cuts wood),金,金 口 十 尸,16
漁,fishing; fishery,水,魚 氵 田 灬,14
禦,defend; protect; resist; ward off,示,止 示 二 小 卩 彳 𠂉,17
魚,fish,魚,魚 田 灬,11
亨,pass through; go smoothly,亠,口 亠 一 亅,7
享,enjoy; receive; undergo; answer (phone); take; get; catch,亠,口 子 亠,8
京,capital; 10**16,亠,口 小 亠,8
供,submit; offer; present; serve (meal); accompany,人,｜ 一 亻 二 ハ,8
侠,tomboy; chivalry,人,亻 人 大 二 丷 亠,8
僑,expatriate; person living abroad; temporary home,人,ノ 亻 口 冂 大,14
兇,wickedness,儿,儿 凵 丶 ノ,6
競,emulate; compete with; bid; sell at auction; bout; contest; race,立,口 立 儿,20
共,together; both; neither; all; and; alike; with,八,ハ ｜ 一 二,6
凶,villain; evil; bad luck; disaster,凵,凵 丶 ノ,4
協,co-; cooperation,十,十 力,8
匡,correct; save; assist,匚,王 匚,6
卿,you; lord; secretary; state minister,卩,艮 卩,12
叫,shout; exclaim; yell,口,｜ 口 十,6
喬,high; boasting,口,ノ 口 冂 大,12
境,boundary; border; region,土,音 土 日 立 儿,14
峡,gorge; ravine,山,山 人 大 二 丷 亠,9
強,strong,弓,弓 虫 厶,11
彊,strong,弓,一 弓 田,16
怯,cowardice; wince; flinch; hesitate; waver,心,土 忄 厶,8
恐,fear; dread; awe,心,工 心 丶 几,10
恭,respect; reverent,心,心 ハ 井,10
挟,pinch; between,手,人 大 二 丷 丶 亠 扌,9
教,teach; faith; doctrine,攴,子 耂 攵 𠂉,11
橋,bridge,木,ノ 口 木 冂,16
況,condition; situation,水,口 氵 儿,8
狂,lunatic; insane; crazy; confuse,犬,王 犭,7
狭,cramped; narrow; contract; tight,犬,人 大 二 丷 犭 丶 亠,9
矯,rectify; straighten; correct; reform; cure; control; pretend; falsify,矢,ノ 口 矢 冂 大 𠂉,17
胸,bosom; breast; chest; heart; feelings,肉,月 凵 勹 ノ 丶,10
脅,threaten; coerce,肉,月 力,10
興,entertain; revive; retrieve; interest; pleasure,臼,臼 口 ハ 冂 一,16
蕎,buckwheat,艸,ノ 口 冂 艹 大,15
郷,home town; village; native place; district,邑,艮 阝 幺,11
鏡,mirror; speculum; barrel-head; round rice-cake offering,金,音 金 日 立 儿,19
響,echo; sound; resound; ring; vibrate,音,音 艮 日 阝 立 幺,20
饗,banquet,食,艮 食 阝 幺,22
驚,wonder; be surprised; frightened; amazed,馬,口 馬 勹 夂 艹 攵 灬 𠂉,22
仰,face-up; look up; depend; seek; respect; revere; drink; take,人,亻 卩,6
凝,congeal; freeze; stiff; be absorbed in,冫,矢 冫 匕 マ 疋 𠂉,16
尭,high; far,土,十 儿 廾 一,8
暁,daybreak; dawn; in the event,日,十 日 儿 廾,12
業,business; vocation; arts; performance,木,｜ 一 王 丷 木 羊 耒,13
局,bureau; board; office; affair; conclusion; court lady; lady-in-waiting; her apartment,尸,口 尸,7
曲,bend; music; melody; composition; pleasure; injustice; fault; curve; crooked; perverse; lean,曰,｜ 日,6
極,extreme; pole; extremely; very; highly; most; end; settlement; conclusion; highest rank,木,口 又 木 一,12
玉,jewel; ball,玉,王 丶,5
桐,paulownia,木,口 木 冂 一,10
粁,kilometer; (kokuji),米,干 米 十,9
僅,a wee bit,人,亻 土 艹 口 二 一,12
勤,diligence; become employed; serve,力,土 力 艹 口 二 一,12
均,level; average,土,土 冫 勹 二,7
巾,towel; hanging scroll; width; cloth radical (no. 50),巾,巾 冂 ｜,3
錦,brocade; fine dress; honors,金,巾 金 白,16
斤,axe; 1.32 lb; catty; counter for loaves of bread; axe radical (no. 69),斤,斤,4
欣,take pleasure in; rejoice,欠,斤 欠,8
欽,respect; revere; long for,欠,金 欠,12
琴,harp; koto,玉,王 𠆢 一,12
禁,prohibition; ban; forbid,示,示 二 小 木,13
禽,bird; captive; capture,禸,𠆢 亠 冂 凵 厶 禸 丶 ノ,13
筋,muscle; sinew; tendon; fiber; plot; plan; descent,竹,月 竹 力 𠂉,12
緊,tense; solid; hard; reliable; tight,糸,糸 幺 小 臣 又,15
芹,parsley,艸,斤 艹,7
菌,germ; fungus; bacteria,艸,禾 囗 艹,11
衿,neck; collar; lapel,衣,衤 𠆢 一,9
襟,collar; neck; lapel; one's inner feelings,衣,示 二 小 衤 木,18
謹,discreet; reverently; humbly,言,言 土 艹 口 二,17
近,near; early; akin; tantamount,辵,斤 辶,7
金,gold,金,金 王 ハ 𠆢 丷,8
吟,versify; singing; recital,口,口 𠆢 一,7
銀,silver,金,金 艮,14
九,nine,乙,九,2
倶,both; together; alike,人,亻 ハ 目 一,10
句,phrase; clause; sentence; passage; paragraph; counter for haiku,口,口 勹,5
区,ward; district,匸,匚 丶 ノ,4
狗,puppy; dog,犬,口 犭 勹,8
玖,beautiful black jewel; nine,玉,久 王,7
矩,ruler; carpenter's square,矢,矢 巨 𠂉,10
苦,suffering; trial; worry; hardship; feel bitter; scowl,艸,口 十 艹,8
躯,body; corpse; tree with rotten core,身,身 匚 丶 ノ,11
駆,drive; run; gallop; advance; inspire; impel,馬,馬 匚 丶 ノ 灬,14
駈,run; gallop; advance,馬,斤 馬 灬 一,15
駒,pony; horse; colt,馬,口 馬 勹 灬,15
具,"tool; utensil; means; possess; ingredients; counter for armor, suits, sets of furniture",八,一 ハ 目,8
愚,foolish; folly; absurdity; stupid,心,心 田 冂 厶 禸,13
虞,fear; uneasiness; anxiety; concern; expectation; consideration,虍,口 ハ 卜 匕 厂 虍,13
喰,eat; drink; receive (a blow); (kokuji),口,口 食,12
空,empty; sky; void; vacant; vacuum,穴,穴 工 儿 宀,8
偶,accidentally; even number; couple; man & wife; same kind,人,亻 田 冂 厶 禸,11
寓,temporary abode; imply; suggest,宀,田 冂 厶 宀 禸,12
遇,meet; encounter; interview; treat; entertain; receive; deal with,辵,辶 田 冂 厶 禸,12
隅,corner; nook,阜,田 日 冂 厶 禸 阝,12
串,spit; skewer,丨,｜ 口,7
櫛,comb,木,艮 竹 木 卩 𠂉,17
釧,bracelet,金,金 川,11
屑,rubbish; junk; trash; waste; scraps,尸,月 ⺌ 尸,10
屈,yield; bend; flinch; submit,尸,｜ 山 尸 凵,8
掘,dig; delve; excavate,手,｜ 山 尸 扌 凵,11
窟,cavern,穴,｜ 穴 山 儿 宀 尸,13
沓,shoes; boots,水,水 日,8
靴,shoes,革,亻 革 匕,13
轡,bit (horse),車,口 糸 幺 小 車,22
窪,depression; cave in; sink; become hollow,穴,穴 氵 土 儿 宀,14
熊,bear,火,月 匕 厶 灬,14
隈,corner; nook; recess,阜,衣 田 阝,12
粂,used in proper names; (kokuji),米,久 米,9
栗,chestnut,木,西 木,10
繰,winding; reel; spin; turn (pages); look up; refer to,糸,口 糸 幺 小 木 品,19
桑,mulberry,木,又 木,10
鍬,hoe with long blade at acute angle,金,火 禾 金,17
勲,meritorious deed; merit,力,｜ 力 灬 日 一 ノ,15
君,mister; you; ruler; male name suffix,口,一 口 ノ ヨ,7
薫,send forth fragrance; fragrant; be scented; smoke (tobacco),艸,｜ 灬 艹 日 ノ 一,16
訓,instruction; Japanese character reading; explanation; read,言,言 川,10
群,flock; group; crowd; herd; swarm; cluster,羊,一 王 口 丷 羊 ノ ヨ,13
軍,army; force; troops; war; battle,車,車 冖,9
郡,county; district,邑,一 口 阝 ノ ヨ,10
卦,a divination sign,卜,土 卜,8
袈,a coarse camlet,衣,衣 口 力 亠,11
祁,intense; large,示,阝 礻,7
係,person in charge; connection; duty; concern oneself,人,ノ 亻 糸 幺 小,9
傾,lean; incline; tilt; trend; wane; sink; ruin; bias,人,亻 貝 目 ハ 頁 匕,13
刑,punish; penalty; sentence; punishment,刀,刂 廾 ノ 二 一,6
兄,elder brother; big brother,儿,口 儿,5
啓,disclose; open; say,口,戸 口 攵 一 尸 𠂉,11
圭,square jewel; corner; angle; edge,土,土,6
珪,jade scepter or tablet (authority symbol),玉,王 土,10
型,mould; type; model,土,刂 土 廾 ノ 二 一,9
契,pledge; promise; vow,大,大 土 刀 亠 二,9
形,shape; form; style,彡,廾 彡 ノ 二 一,7
径,diameter; path; method,彳,土 又 彳,8
恵,favor; blessing; grace; kindness,心,一 心 田,10
慶,jubilation; congratulate; rejoice; be happy,心,心 冖 夂 广,15
慧,wise,心,ヨ 心 ｜ 一,15
憩,recess; rest; relax; repose,心,口 自 心 舌 目,16
掲,put up (a notice); put up; hoist; display; hang out; publish; describe,手,日 勹 匕 扌,11
携,portable; carry (in hand); armed with; bring along,手,ノ 扌 隹 乃,13
敬,awe; respect; honor; revere,攴,口 勹 攵 艹 𠂉,12
景,scenery; view,日,口 小 日 亠,12
桂,Japanese Judas-tree; cinnamon tree,木,土 木,10
渓,mountain stream; valley,水,氵 人 爪 土 二 大,11
畦,rice paddy ridge; furrow; rib,田,田 土,11
稽,think; consider,禾,禾 日 匕 尤,15
系,lineage; system,糸,ノ 糸 幺 小,7
経,sutra; longitude; pass thru; expire; warp,糸,糸 幺 小 土 又,11
継,inherit; succeed; continue; patch; graft (tree),糸,｜ 糸 幺 小 米,13
繋,tie; fasten; chain; tether; connect,糸,糸 幺 小 車 殳 几 又,17
罫,ruled line,网,土 罒 卜,13
茎,stalk; stem,艸,土 又 艹,8
荊,thorn; brier; whip,艸,刂 廾 艹 ノ 二 一,9
蛍,lightning-bug; firefly,虫,⺌ 虫 冖,11
計,plot; plan; scheme; measure,言,言 十,9
詣,visit a temple; arrive; attain,言,言 日 匕,13
警,admonish; commandment,言,言 口 勹 夂 艹 攵 𠂉,19
軽,lightly; trifling; unimportant,車,車 土 又,12
頚,neck; head,頁,貝 目 ハ 土 頁 又,14
鶏,chicken,鳥,人 爪 土 大 鳥 灬 二,19
芸,technique; art; craft; performance; acting; trick; stunt,艸,二 厶 艹,7
迎,welcome; meet; greet,辵,辶 卩,7
鯨,whale,魚,魚 口 小 田 亠 灬,19
劇,drama; play,刀,刂 卜 匕 厂 虍 豕,15
戟,halbert; arms,戈,十 日 戈,12
撃,beat; attack; defeat; conquer,手,車 手 殳 几 又,15
激,violent; get excited; enraged; chafe; incite,水,氵 白 方 攵 𠂉,16
隙,crevice; fissure; discord; opportunity; leisure,阜,小 日 阝,13
桁,beam; girder; spar; unit or column (accounting),木,行 木 彳,10
傑,greatness; excellence,人,亻 舛 木 夕,13
欠,lack; gap; fail; yawning radical (no. 76),欠,欠 勹 人,4
決,decide; fix; agree upon; appoint,水,氵 人 大 二 ユ,7
潔,undefiled; pure; clean; righteous; gallant,水,糸 幺 小 氵 土 刀 亠 二,15
穴,hole; aperture; slit; cave; den,穴,穴 ハ 宀 儿,5
結,tie; bind; contract; join; organize; do up hair; fasten,糸,口 士 糸 幺 小,12
血,blood,血,血 皿,6
訣,separation; part; secret,言,言 人 大 二 ユ,11
月,month; moon,月,月,4
件,affair; case; matter; item,人,亻 牛,6
倹,frugal; economy; thrifty,人,亻 口 人 𠆢 一,10
倦,lose interest in; tire of,人,亻 已 大 二 丷 卩 ハ,11
健,healthy; health; strength; persistence,人,亻 廴 聿,11
兼,concurrently; and; beforehand; in advance,八,｜ ヨ 一 ハ 丷,10
券,ticket,刀,一 人 大 刀 二 丷,8
剣,sabre; sword; blade; clock hand,刀,刂 口 人 𠆢,10
喧,noisy; boisterous,口,一 口 日 宀,12
圏,sphere; circle; radius; range,囗,一 人 大 二 丷 囗 已,12
堅,strict; hard; solid; tough; tight; reliable,土,臣 土 又,12
嫌,dislike; detest; hate,女,｜ ヨ 女 ハ 丷,13
建,build,廴,廴 聿,9
憲,constitution; law,心,心 土 罒 亠 宀 二,16
懸,state of suspension; hang; depend; consult; distant; far apart,心,ノ 糸 幺 小 心 目,20
拳,fist,手,一 手 丷 大 二,10
捲,roll; wind; coil; turn pages; roll up sleeves; strip off; be turned; be rolled up,手,一 丷 已 扌 大 二,11
検,examination; investigate,木,口 人 木 𠆢,12
権,authority; power; rights,木,矢 木 隹 𠂉,15
牽,pull; tug; drag; lead by hand,牛,亠 冖 厶 牛,11
犬,dog,犬,犬 大 丶,4
献,offering; counter for drinks; present; offer,犬,干 犬 十 丷 冂,13
研,polish; study of; sharpen,石,｜ 口 石 亅 廾 ノ 二 一,9
硯,inkstone,石,見 口 石,12
絹,silk,糸,月 口 糸 幺 小,13
県,prefecture,目,小 目,9
肩,shoulder,肉,月 戸 一 尸,8
見,see; hopes; chances; idea; opinion; look at; visible,見,見 目 儿,7
謙,self-effacing; humble oneself; condescend; be modest,言,｜ ヨ 言 ハ 丷,17
賢,intelligent; wise; wisdom; cleverness,貝,貝 目 ハ 臣 又,16
軒,flats; counter for houses; eaves,車,干 車,10
遣,dispatch; despatch; send; give; donate; do; undertake,辵,｜ 一 口 辶,13
鍵,key,金,金 廴 聿,17
険,precipitous; inaccessible place; impregnable position; steep place; sharp eyes,阜,口 人 𠆢 阝,11
顕,appear; existing,頁,貝 目 ハ 日 頁,18
験,verification; effect; testing,馬,口 人 馬 𠆢 灬,18
鹸,saltiness,鹵,口 十 人 𠆢 囗 鹵,19
元,beginning; former time; origin,儿,二 儿 元,4
原,meadow; original; primitive; field; plain; prairie; tundra; wilderness,厂,小 白 厂,10
厳,stern; strictness; severity; rigidity,厂,耳 ⺌ 厂 攵 𠂉,17
幻,phantasm; vision; dream; illusion; apparition,幺,幺,4
弦,bowstring; chord; hypotenuse,弓,弓 玄 亠 幺,8
減,dwindle; decrease; reduce; decline; curtail; get hungry,水,口 氵 亅 戈,12
源,source; origin,水,氵 小 白 厂,13
玄,mysterious; occultness; black; deep; profound,玄,玄 亠 幺,5
現,present; existing; actual,玉,王 見,11
絃,string; cord; samisen music,糸,玄 糸 幺 小 亠,11
舷,gunwale,舟,玄 舟 亠 幺,11
言,say; word,言,言,7
諺,proverb,言,言 丷 立 亅 亠 彡,16
限,limit; restrict; to best of ability,阜,艮 阝,9
乎,question mark; ?,丿,ノ 一 丷 亅,5
個,individual; counter for articles,人,亻 口 十 囗,10
古,old,口,口 十,5
呼,call; call out to; invite,口,ノ 口 丷 亅,8
固,harden; set; clot; curdle,囗,口 十 囗,8
姑,mother-in-law,女,口 十 女,8
孤,orphan; alone,子,瓜 子,9
己,self,己,已,3
庫,warehouse; storehouse,广,車 广,10
弧,arc; arch; bow,弓,瓜 弓,9
戸,door; counter for houses; door radical (no. 63),戶,戸 一 尸,4
故,happenstance; especially; intentionally; reason; cause; circumstances; the late; therefore; consequently,攴,口 十 攵 𠂉,9
枯,wither; die; dry up; be seasoned,木,口 十 木,9
湖,lake,水,月 口 十 氵,12
狐,fox,犬,瓜 犭,9
糊,paste; glue; sizing,米,月 口 十 米,15
袴,men's formal divided skirt,衣,衤 大 二 勹,11
股,thigh; crotch,肉,月 殳 几 又,8
胡,barbarian; foreign,肉,月 口 十,9
